product_id,product_name
1,Aceclofenac 100mg 250mg Batch 1
2,Anti-Fungal Powder 250mg Batch 2
3,Hydrocortisone Cream Extra Batch 3
4,Ketoconazole Shampoo Extra Batch 4
5,Ketorolac Tromethamine 250mg Batch 5
6,Sunscreen SPF 50 50mg Batch 6
7,Iron Supplement 100mg Batch 7
8,Aspirin 300mg 500mg Batch 8
9,Magnesium Citrate 100mg Batch 9
10,Ciprofloxacin 500mg 100mg Batch 10
11,Ketorolac Tromethamine 500mg Batch 11
12,Multivitamin Daily 10mg Batch 12
13,Ciprofloxacin 500mg 10mg Batch 13
14,B-Complex Vitamin Extra Batch 14
15,Antacid Gel 100mg Batch 15
16,Diclofenac Sodium Daily Batch 16
17,Aceclofenac 100mg 500mg Batch 17
18,Vitamin D3 2000IU Extra Batch 18
19,Sunscreen SPF 50 Extra Batch 19
20,Ketoconazole Shampoo 100mg Batch 20
21,Erythromycin 500mg 250mg Batch 21
22,Paracetamol 500mg 10mg Batch 22
23,Doxycycline 100mg 100mg Batch 23
24,Hydrocortisone Cream 250mg Batch 24
25,Zinc 50mg 500mg Batch 25
26,Famotidine 20mg 500mg Batch 26
27,Omeprazole 20mg 50mg Batch 27
28,Zinc 50mg Extra Batch 28
29,Metronidazole 400mg Daily Batch 29
30,Magnesium Hydroxide 50mg Batch 30
31,Clotrimazole Cream 250mg Batch 31
32,Clotrimazole Cream 50mg Batch 32
33,Nitrofurantoin 100mg Daily Batch 33
34,Erythromycin 500mg 10mg Batch 34
35,Nitrofurantoin 100mg 50mg Batch 35
36,Nitrofurantoin 100mg Extra Batch 36
37,Digene Tablet 10mg Batch 37
38,Clarithromycin 250mg Extra Batch 38
39,Ciprofloxacin 500mg 10mg Batch 39
40,Zinc 50mg 10mg Batch 40
41,Mefenamic Acid 50mg Batch 41
42,Codeine Phosphate 500mg Batch 42
43,Gelusil Antacid Liquid 500mg Batch 43
44,Ciprofloxacin 500mg 500mg Batch 44
45,Multivitamin Daily 50mg Batch 45
46,Omeprazole 20mg 100mg Batch 46
47,Diclofenac Sodium 500mg Batch 47
48,Ketoconazole Shampoo Extra Batch 48
49,Aloe Vera Gel Medical Grade 50mg Batch 49
50,Paracetamol 500mg 250mg Batch 50
51,Clotrimazole Cream 50mg Batch 51
52,B-Complex Vitamin 500mg Batch 52
53,Famotidine 20mg 10mg Batch 53
54,Mefenamic Acid 500mg Batch 54
55,B-Complex Vitamin 250mg Batch 55
56,Tramadol 50mg 250mg Batch 56
57,Iron Supplement Extra Batch 57
58,Ranitidine 150mg Daily Batch 58
59,Vitamin D3 2000IU Daily Batch 59
60,Sunscreen SPF 50 100mg Batch 60
61,Aceclofenac 100mg 500mg Batch 61
62,Vitamin D3 2000IU 250mg Batch 62
63,Vitamin C 1000mg Extra Batch 63
64,Betadine Ointment Extra Batch 64
65,B-Complex Vitamin Daily Batch 65
66,Mefenamic Acid 250mg Batch 66
67,Erythromycin 500mg 50mg Batch 67
68,Zinc 50mg 50mg Batch 68
69,Ibuprofen 400mg Daily Batch 69
70,Naproxen 250mg 100mg Batch 70
71,Anti-Fungal Powder 500mg Batch 71
72,Domperidone 10mg 100mg Batch 72
73,Naproxen 250mg 500mg Batch 73
74,Aspirin 300mg 100mg Batch 74
75,Sunscreen SPF 50 250mg Batch 75
76,Mupirocin Ointment 500mg Batch 76
77,Domperidone 10mg 50mg Batch 77
78,Vitamin D3 2000IU Daily Batch 78
79,Betadine Ointment 500mg Batch 79
80,Azithromycin 500mg 250mg Batch 80
81,Diclofenac Gel Daily Batch 81
82,Azithromycin 500mg 250mg Batch 82
83,Moisturizing Cream 50mg Batch 83
84,Gelusil Antacid Liquid 50mg Batch 84
85,Paracetamol 500mg Daily Batch 85
86,Cephalexin 500mg 250mg Batch 86
87,Multivitamin Daily 10mg Batch 87
88,Rabeprazole 20mg Extra Batch 88
89,Erythromycin 500mg 100mg Batch 89
90,Ketoconazole Shampoo 500mg Batch 90
91,Aspirin 300mg 50mg Batch 91
92,Amoxicillin 500mg Extra Batch 92
93,Sunscreen SPF 50 Daily Batch 93
94,Vitamin C 1000mg 100mg Batch 94
95,Ciprofloxacin 500mg 500mg Batch 95
96,Magnesium Citrate 500mg Batch 96
97,Fish Oil 1000mg 50mg Batch 97
98,Ketoconazole Shampoo 10mg Batch 98
99,Naproxen 250mg Extra Batch 99
100,Famotidine 20mg Extra Batch 100
101,Ketorolac Tromethamine 50mg Batch 101
102,Aspirin 300mg 100mg Batch 102
103,Diclofenac Gel Extra Batch 103
104,Clarithromycin 250mg Extra Batch 104
105,Cephalexin 500mg 250mg Batch 105
106,Vitamin C 1000mg Extra Batch 106
107,Digene Tablet Daily Batch 107
108,Ciprofloxacin 500mg 500mg Batch 108
109,Famotidine 20mg 500mg Batch 109
110,Zinc 50mg 500mg Batch 110
111,Vitamin C 1000mg 100mg Batch 111
112,Ketoconazole Shampoo 500mg Batch 112
113,Ranitidine 150mg 50mg Batch 113
114,Digene Tablet 10mg Batch 114
115,Doxycycline 100mg 100mg Batch 115
116,Multivitamin Daily 500mg Batch 116
117,Omeprazole 20mg 250mg Batch 117
118,Paracetamol 500mg 250mg Batch 118
119,Domperidone 10mg 100mg Batch 119
120,Vitamin C 1000mg Extra Batch 120
121,Codeine Phosphate 50mg Batch 121
122,Ketoconazole Shampoo Extra Batch 122
123,Metronidazole 400mg 100mg Batch 123
124,Pantoprazole 400mg 100mg Batch 124
